7675 [[54.8143, 9431.500005953854], [54.7033, 9433.275840170612], [54.5813, 9435.255154453622], [54.451, 9437.39539206888], [54.3135, 9439.689293281524], [54.1611, 9442.269848963442], [53.9963, 9445.112579763665], [53.8183, 9448.23943715898], [53.6238, 9451.727533705189], [53.4116, 9455.61953962283], [53.1752, 9460.067099912429], [52.913, 9465.138639927378], [52.6212, 9470.963866796974], [52.2937, 9477.736200804287], [51.9212, 9485.754607837887], [51.498, 9495.288531678192], [50.5658, 9506.254438881717], [49.2239, 9519.06298732868], [47.5691, 9534.735275834284], [45.4436, 9554.166812344696], [42.5545, 9578.4081292163], [38.3954, 9608.14870439001], [32.3878, 9643.111991862132], [24.2253, 9686.182516412367], [13.227, 10113.628180367705]]
4775 [[54.8142, 9431.500809603285], [54.7019, 9433.29981872583], [54.5821, 9435.241366408593], [54.45, 9437.412466929274], [54.3105, 9439.738569690659], [54.1595, 9442.297247478225], [53.9933, 9445.164233057474], [53.8145, 9448.305722142752], [53.6211, 9451.776241392907], [53.4051, 9455.74131557606], [53.1689, 9460.187222254594], [52.9064, 9465.268394621957], [52.6137, 9471.116775948398], [52.2858, 9477.902414617847], [51.9138, 9485.917225504641], [51.4836, 9495.622004450423], [50.5424, 9506.600202992313], [49.1964, 9519.328930132446], [47.5316, 9535.080276474415], [45.3997, 9554.525081228156], [42.4969, 9578.818517123302], [38.3953, 9610.098600153071], [32.2736, 9643.590412559526], [23.9612, 9684.791756310618], [13.0468, 10743.602174295596]]
5500 [[54.8143, 9431.500000548698], [54.7024, 9433.29101235802], [54.5839, 9435.21259040728], [54.4521, 9437.37783374234], [54.3129, 9439.699158664456], [54.1633, 9442.233326327632], [53.9968, 9445.102849636214], [53.8205, 9448.198964574309], [53.6261, 9451.6859885815], [53.4116, 9455.620324727199], [53.1788, 9459.997695961572], [52.9141, 9465.117023488008], [52.6262, 9470.863549149139], [52.2951, 9477.70714631101], [51.9235, 9485.70309791371], [51.5066, 9495.090858658697], [50.5639, 9506.275285060412], [49.2418, 9518.922716328003], [47.6016, 9534.493534709594], [45.487, 9553.952400742857], [42.6361, 9578.491151069531], [38.3703, 9608.299859666948], [32.3843, 9643.053146221491], [24.1753, 9683.844855012445], [13.1696, 10141.023846359798]]
4025 [[54.8143, 9431.500000402008], [54.7041, 9433.263338526554], [54.5841, 9435.209034941097], [54.4532, 9437.35865046107], [54.3152, 9439.660820264151], [54.1641, 9442.219982089564], [54.0033, 9444.989712693445], [53.8231, 9448.154451188773], [53.6415, 9451.40603004504], [53.4222, 9455.423193499922], [53.1828, 9459.921882532813], [52.9546, 9464.3252419841], [52.6335, 9470.714200956243], [52.3139, 9477.312340959481], [51.9327, 9485.501631634603], [51.5323, 9494.497488643228], [50.6947, 9505.306792046986], [49.3071, 9518.447797386885], [47.6817, 9534.005185393535], [45.5004, 9553.684637329538], [42.6166, 9577.915661390327], [38.4124, 9608.0824656151], [32.5556, 9642.385390986552], [24.7058, 9688.67808549076], [13.3625, 10310.25508614084]]
3225 [[54.8143, 9431.500000328268], [54.7022, 9433.293907380661], [54.5853, 9435.188776105786], [54.4524, 9437.372090790308], [54.3115, 9439.722624583024], [54.1612, 9442.269731995038], [53.998, 9445.081866014692], [53.8261, 9448.100844016226], [53.6294, 9451.625628190743], [53.4124, 9455.604465168066], [53.1808, 9459.960967543913], [52.9134, 9465.130930652505], [52.624, 9470.906810122253], [52.297, 9477.666342011438], [51.9341, 9485.471388660611], [51.4971, 9495.308909195152], [50.6727, 9505.602322825338], [49.2494, 9518.974905575598], [47.587, 9534.774895806211], [45.4544, 9554.149014337767], [42.5698, 9578.26050404828], [38.4352, 9608.125841786436], [32.5347, 9642.976917774935], [24.022, 9684.452515425462], [13.1643, 10201.512330397642]]
3450 [[54.8143, 9431.500001519198], [54.7039, 9433.267377616465], [54.5817, 9435.247686887657], [54.4509, 9437.397721608551], [54.313, 9439.697648316931], [54.161, 9442.272333096385], [53.997, 9445.099907870508], [53.8197, 9448.214342368454], [53.6235, 9451.732384136187], [53.4114, 9455.623769281441], [53.1773, 9460.028147054023], [52.9181, 9465.039131751792], [52.6221, 9470.946739240258], [52.3026, 9477.549894425209], [51.9304, 9485.55160383115], [51.557, 9493.930468190834], [50.6326, 9506.181431288736], [49.3694, 9519.450231191679], [47.7214, 9534.721415888087], [45.5025, 9553.617688817054], [42.6145, 9578.129364503973], [38.5371, 9608.037126236613], [32.4754, 9642.947731062162], [23.8975, 9686.255953772219], [13.1554, 10163.371246057182]]
4250 [[54.8143, 9431.50000429442], [54.7032, 9433.277579207348], [54.5877, 9435.14928295375], [54.4524, 9437.3723929658], [54.315, 9439.664398000701], [54.1633, 9442.233788460611], [53.9984, 9445.075547850885], [53.8228, 9448.158176654006], [53.6271, 9451.666599866963], [53.4136, 9455.582852478314], [53.1783, 9460.008038377293], [52.918, 9465.040542533536], [52.6269, 9470.849080004187], [52.3115, 9477.361382451247], [51.9286, 9485.591578002115], [51.5605, 9493.850287760224], [50.5963, 9506.13869494139], [49.3219, 9519.013033531777], [47.6384, 9534.483756873977], [45.4936, 9553.814973953436], [42.6197, 9578.272470970858], [38.4439, 9607.889682633435], [32.2477, 9643.703968694002], [24.173, 9683.573889997087], [13.3366, 10064.33779959935]]
7250 [[54.8143, 9431.500000001475], [54.7019, 9433.299463907826], [54.5813, 9435.254820189448], [54.4515, 9437.387992229931], [54.3113, 9439.72513779822], [54.1604, 9442.28276618026], [53.9967, 9445.104309678307], [53.8192, 9448.22292374765], [53.6234, 9451.735177695391], [53.4125, 9455.60382696582], [53.1752, 9460.066628431525], [52.9146, 9465.108337715697], [52.6229, 9470.930447644709], [52.2963, 9477.681426568171], [51.9212, 9485.754058779237], [51.4949, 9495.360761792908], [50.5789, 9506.268914240069], [49.2302, 9519.034831736528], [47.5767, 9534.669850262015], [45.4357, 9554.203396277642], [42.5433, 9578.633465369332], [38.4033, 9608.085715823649], [32.3695, 9643.12289347192], [24.1476, 9683.798642509038], [13.1485, 10165.769074486083]]
2575 [[54.8143, 9431.500290022359], [54.7022, 9433.293733351216], [54.5809, 9435.260938193116], [54.4559, 9437.315377743347], [54.3123, 9439.708797285772], [54.1574, 9442.334284145409], [53.9989, 9445.066571690291], [53.8288, 9448.051879809896], [53.6189, 9451.815104538251], [53.4112, 9455.626735187063], [53.1789, 9459.997198146617], [52.9084, 9465.230522019565], [52.6363, 9470.658402174087], [52.2983, 9477.639354960513], [51.9245, 9485.680954867179], [51.5097, 9495.019739480098], [50.5525, 9506.67450400269], [49.2682, 9519.101419975881], [47.6106, 9534.477520548935], [45.4292, 9554.305195039866], [42.5288, 9578.624448687218], [38.1794, 9609.546193774331], [30.8564, 9650.539297800156], [24.0358, 9684.353221934836], [13.0746, 11229.028309117115]]
5300 [[54.8143, 9431.500004465079], [54.7044, 9433.259163341467], [54.5841, 9435.208098272795], [54.4513, 9437.39111364544], [54.3107, 9439.736017405448], [54.1596, 9442.295764523502], [53.9949, 9445.13529795886], [53.8154, 9448.290753957524], [53.6218, 9451.763247459476], [53.4077, 9455.692358619133], [53.1702, 9460.16178511548], [52.9082, 9465.2333805016], [52.6157, 9471.075339899306], [52.2864, 9477.891041943003], [51.9127, 9485.941157491856], [51.4902, 9495.468476632896], [50.5814, 9506.588163752594], [49.2185, 9519.11760965711], [47.5705, 9535.119551884467], [45.5734, 9555.059281105583], [42.701, 9579.57189642381], [38.6086, 9610.308104895714], [32.6845, 9647.883304525527], [24.0199, 9684.403225062351], [13.1845, 10159.519258342922]]
2350 [[54.8143, 9431.500168231078], [54.7094, 9433.178334869921], [54.5849, 9435.195885760384], [54.4541, 9437.344007181498], [54.314, 9439.68108777739], [54.1611, 9442.270864915601], [53.9968, 9445.103238072112], [53.8152, 9448.294425774253], [53.6209, 9451.780379171427], [53.4045, 9455.75236772509], [53.174, 9460.090088507883], [52.9182, 9465.037178023436], [52.6154, 9471.082405528807], [52.3044, 9477.512292024383], [51.9108, 9485.983417056854], [51.4941, 9495.378019798685], [50.7675, 9505.454272762128], [49.2098, 9519.414305150527], [47.571, 9535.020481670892], [45.4592, 9554.061485650303], [42.4288, 9579.376176386031], [38.3017, 9608.788438194668], [32.3581, 9643.340947930994], [24.053, 9687.598692181278], [13.1807, 10145.610038588868]]
