4025 [[442.426, 9281.588774108483], [367.553, 9296.75815380497], [325.244, 9309.77299907325], [297.111, 9321.742491530165], [276.274, 9334.437608237036], [258.209, 9346.254914593237], [245.726, 9359.064196178771], [232.454, 9371.936369985833], [222.04, 9386.446383148925], [212.603, 9401.856268324242], [204.175, 9418.662303428873], [196.137, 9437.489567096525], [189.028, 9458.307373686639], [181.57, 9481.805995922445], [174.88, 9509.46356446325], [168.942, 9542.527413541346], [162.492, 9581.743419628658], [153.861, 9626.147663877942], [135.382, 9651.314978550514], [117.84, 9695.13247831383], [105.844, 9744.338631860457], [93.8269, 9825.66986432287], [70.5215, 9950.284365674892], [49.1785, 10187.415956963985], [13.4542, 11948.773562948276]]
10950 [[442.835, 9281.50437400166], [366.998, 9296.57433327156], [325.687, 9309.40935277762], [297.574, 9321.347306286225], [276.417, 9333.052501318018], [259.643, 9344.940831016798], [245.766, 9357.182147746864], [234.026, 9370.232586325932], [223.413, 9383.987289741552], [214.279, 9398.8051942939], [205.915, 9415.401399184399], [197.877, 9433.19701202354], [190.288, 9453.335048226852], [183.494, 9476.714471430205], [176.459, 9502.443984797528], [169.891, 9533.961047131892], [164.06, 9572.439798540896], [155.073, 9613.437341180459], [137.271, 9640.031904789053], [122.311, 9673.18910374343], [108.457, 9722.530439626218], [93.4173, 9803.988402971605], [70.3108, 9854.474608573084], [47.5526, 9950.7123994495], [18.4382, 10714.889834398416]]
5300 [[442.798, 9281.515203991881], [367.721, 9296.397704754005], [325.804, 9309.217348478514], [300.336, 9321.311186098346], [278.004, 9333.37290928667], [259.813, 9344.957910938474], [245.835, 9357.07316676262], [234.041, 9369.871731096522], [223.534, 9383.969967633424], [214.21, 9398.91672733683], [205.824, 9415.176265864868], [198.309, 9433.502167647126], [190.582, 9452.989968843804], [183.801, 9476.730123305299], [176.569, 9502.653770611169], [170.621, 9534.530135619578], [164.458, 9572.95447720363], [158.731, 9621.713147089038], [141.826, 9651.10657373249], [124.357, 9688.942983811014], [110.112, 9738.178583019257], [90.128, 9811.110717613801], [69.3435, 9853.877719329535], [47.989, 9954.442682347219], [18.6165, 10872.830487401854]]
7725 [[442.812, 9281.512851706571], [368.552, 9296.210834344198], [327.629, 9308.558984549185], [299.445, 9320.403334982371], [279.195, 9332.099248667273], [262.061, 9343.119160974535], [246.845, 9356.153940741568], [235.686, 9367.972167281185], [225.558, 9381.958606987606], [216.283, 9395.983999915445], [207.533, 9412.442955898136], [199.897, 9430.540397414634], [192.23, 9448.688714731192], [184.634, 9471.10810914068], [178.006, 9496.383752622889], [171.817, 9525.839916951802], [165.28, 9563.208020546459], [159.473, 9606.182846628135], [146.103, 9625.433305384655], [125.609, 9664.359593665273], [111.381, 9709.574652953772], [97.6025, 9783.234645690356], [85.8483, 9921.687746608917], [53.2661, 9987.310596424568], [25.4579, 10307.53431074982]]
10350 [[442.767, 9281.514739492299], [366.387, 9296.638122957878], [325.357, 9309.37993490632], [297.593, 9321.437509757352], [276.535, 9333.110397931088], [260.058, 9345.060596998765], [245.77, 9357.237047744922], [234.067, 9370.229750167091], [223.434, 9383.990377600596], [214.356, 9398.986979400503], [205.785, 9415.261893391418], [197.817, 9433.144108943892], [190.591, 9453.656263150455], [183.188, 9476.154700083456], [176.383, 9502.653989154624], [169.987, 9533.991425126256], [164.101, 9572.983787025634], [155.277, 9613.069898415157], [138.37, 9640.84470895929], [120.808, 9677.558465846761], [107.697, 9727.36486366137], [93.8872, 9807.384497169965], [70.6552, 9857.670107122209], [47.6279, 9953.24552338723], [18.3711, 10782.963588944538]]
5275 [[442.326, 9281.618609760306], [368.225, 9296.25823090636], [326.35, 9309.028055358911], [298.338, 9320.912815424175], [277.329, 9332.436379942406], [260.706, 9344.137891985607], [246.84, 9356.154039137742], [235.03, 9368.747101760098], [224.628, 9382.266663269646], [215.481, 9396.87236143907], [206.88, 9412.85986053278], [199.125, 9430.360236884537], [191.549, 9449.631008260892], [184.447, 9472.277424721042], [178.028, 9498.437766507395], [171.116, 9528.059718110546], [164.965, 9565.305008627485], [159.052, 9611.47093684833], [139.81, 9634.331753206785], [123.417, 9669.469449411703], [110.107, 9715.590093436444], [96.5297, 9794.363941064743], [62.3864, 9887.820831095889], [45.8902, 9950.878133602051], [23.1011, 10623.334097141122]]
8425 [[442.831, 9281.503722516278], [367.809, 9296.336274761059], [327.273, 9309.052005076459], [298.61, 9320.845117631423], [277.678, 9332.45351328223], [260.807, 9344.083222175346], [246.942, 9356.077433803177], [234.909, 9368.894624247494], [224.592, 9382.344269025292], [215.357, 9396.910715432547], [206.872, 9412.892124033984], [198.994, 9430.353477920706], [191.471, 9450.048870612653], [184.34, 9472.065808010948], [177.642, 9498.083949112697], [171.366, 9527.238041616156], [165.079, 9564.173791570609], [158.878, 9611.29776529537], [141.942, 9637.608120938952], [125.671, 9671.209500861394], [110.625, 9718.84626182402], [96.6298, 9797.841733164269], [74.21, 9848.374342232959], [50.8798, 9951.934620260205], [22.925, 10253.730073995672]]
5050 [[442.78, 9281.518753180331], [368.366, 9296.434631146287], [325.424, 9309.32040820229], [297.252, 9321.331640439566], [276.559, 9333.128227276857], [259.726, 9344.89714925722], [245.996, 9357.181312513785], [234.018, 9370.177264620052], [223.918, 9383.845924394216], [214.372, 9398.817706305483], [205.888, 9415.248871395466], [198.093, 9433.329398034793], [190.574, 9453.517557041027], [183.431, 9476.153967811355], [176.677, 9502.721668946973], [170.12, 9533.974084143683], [164.346, 9572.767336981564], [155.516, 9613.753227419716], [138.068, 9639.316197019987], [123.002, 9673.481337407557], [107.803, 9726.980134815938], [94.0228, 9809.128705008638], [71.0308, 9858.120550642103], [48.0691, 9957.953058133], [18.6637, 10593.761720724076]]
4350 [[442.791, 9281.537638131582], [368.662, 9296.318073524804], [326.195, 9309.104490756463], [297.724, 9321.165970977114], [277.046, 9332.782435593534], [260.277, 9344.823055224031], [246.209, 9357.053210106136], [234.063, 9369.838924161084], [224.23, 9382.975869231363], [214.7, 9398.49528693038], [206.264, 9414.710488231687], [198.143, 9432.407555463244], [190.505, 9452.657877545556], [183.662, 9475.372896688486], [176.893, 9501.521187295544], [170.436, 9533.155225928365], [164.385, 9568.77979314883], [158.571, 9616.81716643219], [141.059, 9643.944870511652], [124.194, 9676.6790116687], [109.35, 9727.469178419717], [96.0522, 9804.230328288882], [72.5081, 9864.025838619651], [49.2823, 9960.563856294828], [19.8142, 10469.915856742256]]
3300 [[442.661, 9281.63602203698], [366.626, 9296.736240983626], [327.239, 9309.339572865145], [298.183, 9321.508804547902], [276.645, 9333.132240707728], [259.852, 9345.008817298161], [246.095, 9357.434352035441], [233.938, 9370.12493997687], [223.696, 9383.89798376398], [214.256, 9398.837496277993], [205.903, 9415.148153536056], [197.862, 9433.091388554642], [191.054, 9453.328448402988], [183.539, 9476.115663329645], [176.433, 9502.27180318966], [170.141, 9532.609908012488], [163.955, 9571.227326158152], [158.667, 9618.00247422286], [144.187, 9657.817722713755], [126.15, 9685.692751456043], [108.947, 9729.595686020923], [95.2003, 9814.722259451448], [70.5391, 9858.894071334693], [47.3771, 9933.00931395606], [18.9795, 10975.468447275098]]
7625 [[442.836, 9281.504613220872], [366.83, 9296.546358858424], [326.672, 9309.329145550988], [297.735, 9321.10356212464], [277.775, 9332.273004983472], [260.393, 9344.56573439837], [246.428, 9356.571619728671], [234.382, 9369.513915474401], [224.252, 9382.886177229537], [215.126, 9398.081698183387], [206.479, 9414.174178239291], [198.671, 9431.881216539761], [190.87, 9451.766995359758], [184.629, 9475.365878681121], [177.47, 9499.527225121376], [170.956, 9531.868565451161], [164.677, 9569.67774482768], [155.656, 9611.532949621851], [138.374, 9637.803309860958], [120.775, 9677.483687510194], [108.03, 9724.170239484678], [95.5355, 9805.83619721241], [72.0337, 9886.131906244405], [48.9865, 9979.611976145412], [21.5179, 10463.225893328537]]
